Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount,Location,Size,Color,Season,Review_Rating,Subscription_Status,Shipping_Type,Discount_Applied,Promo_Code_Used,Previous_Purchases,Payment_Method,Frequency_of_Purchases,Frequency_Score,Promo_Dependent,Satisfaction_Flag,Tenure_Band,Spend_Tier,Customer_Value_Score,Value_Tier,Promo_Value_Segment,Age_Group,Premium_Shipping_Flag,High_Value_Flag,Retention_Risk_Score,Loyalty_Score_A,Loyalty_Label_A,Loyalty_Score_B,Loyalty_Label_B,Customer_Segment
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,1,Next Day Air,1,1,44,Debit Card,Fortnightly,26,1,High,Veteran,Low,0.5871,Gold,High_Value_Promo_Dependent,25-34,1,1,1,0.5471,Loyal,0.524,Loyal,Promo Convert Target
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,1,2-Day Shipping,1,1,36,Venmo,Quarterly,4,1,High,Established,Low,0.3542,Silver,Low_Value_Promo_Dependent,45-54,1,0,1,0.3092,Transactional,0.6143,Loyal,Low Engagement
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,1,Free Shipping,1,1,17,Cash,Weekly,52,1,High,Growing,Medium,0.6006,Gold,High_Value_Promo_Dependent,45-54,0,1,1,0.5306,Loyal,0.6315,Loyal,Low Engagement
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,1,Standard,1,1,46,Debit Card,Fortnightly,26,1,Medium,Veteran,High,0.7384,Platinum,High_Value_Promo_Dependent,65+,0,1,2,0.5634,Loyal,0.5808,Loyal,Promo Convert Target
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,1,Express,1,1,50,Cash,Quarterly,4,1,Low,Veteran,Medium,0.501,Gold,High_Value_Promo_Dependent,18-24,1,1,3,0.4235,Developing,0.3889,Developing,Promo Convert Target
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,1,Store Pickup,1,1,22,Debit Card,Quarterly,4,1,High,Growing,Medium,0.3,Silver,Low_Value_Promo_Dependent,25-34,0,0,1,0.195,Transactional,0.6052,Loyal,Discount Dependent
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,1,Store Pickup,1,1,32,Debit Card,Annually,1,1,Medium,Established,Low,0.2956,Silver,Low_Value_Promo_Dependent,55-64,0,0,2,0.2531,Transactional,0.4011,Developing,Low Engagement
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,1,Express,1,1,40,Credit Card,Weekly,52,1,High,Veteran,High,0.8884,Platinum,High_Value_Promo_Dependent,25-34,1,1,1,0.7184,Loyal,0.7285,Loyal,Promo Convert Target
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,1,Store Pickup,1,1,16,Debit Card,Weekly,52,1,Low,Growing,Low,0.5274,Gold,High_Value_Promo_Dependent,18-24,0,1,3,0.5224,Developing,0.3122,Transactional,At Risk
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,1,Express,1,1,14,PayPal,Annually,1,1,Medium,Growing,Low,0.1186,Bronze,Low_Value_Promo_Dependent,18-24,1,0,2,0.1061,Transactional,0.4196,Developing,Discount Dependent
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,1,Next Day Air,1,1,13,Credit Card,Annually,1,1,Medium,Growing,Low,0.098,Bronze,Low_Value_Promo_Dependent,35-44,1,0,2,0.098,Transactional,0.404,Developing,Discount Dependent
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,1,Next Day Air,1,1,7,Bank Transfer,Quarterly,4,1,High,New,Medium,0.1625,Bronze,Low_Value_Promo_Dependent,55-64,1,0,1,0.0725,Transactional,0.7125,Loyal,Discount Dependent
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,1,Free Shipping,1,1,41,PayPal,Quarterly,4,1,High,Veteran,High,0.5351,Gold,High_Value_Promo_Dependent,45-54,0,1,1,0.3501,Developing,0.7472,Loyal,Promo Convert Target
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,1,Store Pickup,1,1,14,Credit Card,Weekly,52,1,High,Growing,Medium,0.5761,Gold,High_Value_Promo_Dependent,25-34,0,1,1,0.5061,Developing,0.5615,Loyal,Low Engagement
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,1,Standard,1,1,16,Credit Card,Monthly,12,1,High,Growing,Low,0.2362,Bronze,Low_Value_Promo_Dependent,55-64,0,0,1,0.2087,Transactional,0.5924,Loyal,Discount Dependent
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,1,Store Pickup,1,1,45,Venmo,Monthly,12,1,High,Veteran,High,0.593,Gold,High_Value_Promo_Dependent,25-34,0,1,1,0.4455,Developing,0.7424,Loyal,Promo Convert Target
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,1,Free Shipping,1,1,37,Venmo,Annually,1,1,High,Established,Medium,0.4114,Silver,Low_Value_Promo_Dependent,35-44,0,0,1,0.2939,Transactional,0.7329,Loyal,Low Engagement
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,1,Store Pickup,1,1,45,Cash,Quarterly,4,1,Medium,Veteran,Low,0.4277,Silver,Low_Value_Promo_Dependent,45-54,0,0,2,0.3827,Developing,0.4182,Developing,Low Engagement
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,1,2-Day Shipping,1,1,38,PayPal,Quarterly,4,1,High,Established,High,0.5031,Gold,High_Value_Promo_Dependent,35-44,1,1,1,0.3256,Transactional,0.7659,Loyal,Promo Convert Target
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,1,2-Day Shipping,1,1,48,Credit Card,Fortnightly,26,1,High,Veteran,Low,0.6123,Gold,High_Value_Promo_Dependent,45-54,1,1,1,0.5798,Loyal,0.5006,Developing,Promo Convert Target
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,1,Free Shipping,1,1,44,PayPal,Fortnightly,26,1,High,Veteran,Medium,0.6696,Platinum,High_Value_Promo_Dependent,35-44,0,1,1,0.5471,Loyal,0.6971,Loyal,Promo Convert Target
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,1,Store Pickup,1,1,10,PayPal,Weekly,52,1,Low,Growing,Medium,0.536,Gold,High_Value_Promo_Dependent,35-44,0,1,3,0.4735,Developing,0.3701,Transactional,At Risk
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,1,2-Day Shipping,1,1,44,Venmo,Quarterly,4,1,Medium,Veteran,Low,0.417,Silver,Low_Value_Promo_Dependent,25-34,1,0,2,0.3745,Developing,0.4851,Developing,Low Engagement
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,1,Express,1,1,18,Credit Card,Monthly,12,1,High,Growing,Medium,0.3251,Silver,Low_Value_Promo_Dependent,65+,1,0,1,0.2251,Transactional,0.613,Loyal,Discount Dependent
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,1,Next Day Air,1,1,31,Debit Card,Quarterly,4,1,High,Established,High,0.4084,Silver,Low_Value_Promo_Dependent,65+,1,0,1,0.2684,Transactional,0.719,Loyal,Low Engagement
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,1,Standard,1,1,40,Venmo,Annually,1,1,High,Veteran,Low,0.3659,Silver,Low_Value_Promo_Dependent,65+,0,0,1,0.3184,Transactional,0.5894,Loyal,Low Engagement
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,1,Free Shipping,1,1,15,PayPal,Annually,1,1,High,Growing,High,0.3143,Silver,Low_Value_Promo_Dependent,18-24,0,0,1,0.1143,Transactional,0.724,Loyal,Discount Dependent
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,1,Store Pickup,1,1,19,PayPal,Fortnightly,26,1,Medium,Growing,Medium,0.4655,Gold,High_Value_Promo_Dependent,25-34,0,1,2,0.343,Transactional,0.5711,Loyal,Low Engagement
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,1,Free Shipping,1,1,45,PayPal,Weekly,52,1,High,Veteran,Medium,0.8417,Platinum,High_Value_Promo_Dependent,35-44,0,1,1,0.7592,Loyal,0.6471,Loyal,Promo Convert Target
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,1,2-Day Shipping,1,1,25,PayPal,Annually,1,1,Low,Established,Low,0.1984,Bronze,Low_Value_Promo_Dependent,45-54,1,0,3,0.1959,Transactional,0.3091,Transactional,At Risk
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,1,Store Pickup,1,1,45,Cash,Quarterly,4,1,Low,Veteran,Low,0.4402,Silver,Low_Value_Promo_Dependent,55-64,0,0,3,0.3827,Developing,0.3779,Transactional,At Risk
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,1,Free Shipping,1,1,36,Cash,Weekly,52,1,High,Established,Medium,0.7707,Platinum,High_Value_Promo_Dependent,55-64,0,1,1,0.6857,Loyal,0.6362,Loyal,Promo Convert Target
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,1,Store Pickup,1,1,38,Cash,Monthly,12,1,Low,Established,Medium,0.4758,Gold,High_Value_Promo_Dependent,35-44,0,1,3,0.3883,Developing,0.3874,Developing,Promo Convert Target
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,1,Next Day Air,1,1,34,Debit Card,Fortnightly,26,1,High,Established,Low,0.4905,Gold,High_Value_Promo_Dependent,65+,1,1,1,0.4655,Developing,0.5752,Loyal,Promo Convert Target
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,1,Store Pickup,1,1,39,Debit Card,Fortnightly,26,1,Medium,Established,Low,0.5263,Gold,High_Value_Promo_Dependent,45-54,0,1,2,0.5063,Developing,0.457,Developing,Promo Convert Target
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,1,2-Day Shipping,1,1,7,Credit Card,Quarterly,4,1,High,New,Medium,0.17,Bronze,Low_Value_Promo_Dependent,55-64,1,0,1,0.0725,Transactional,0.6799,Loyal,Discount Dependent
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,1,Free Shipping,1,1,26,Credit Card,Weekly,52,1,Low,Established,Low,0.6041,Gold,High_Value_Promo_Dependent,35-44,0,1,3,0.6041,Loyal,0.264,Transactional,Promo Convert Target
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,1,Next Day Air,1,1,35,Credit Card,Weekly,52,1,Medium,Established,Low,0.6876,Platinum,High_Value_Promo_Dependent,25-34,1,1,2,0.6776,Loyal,0.4585,Developing,Promo Convert Target
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,1,Next Day Air,1,1,35,Debit Card,Fortnightly,26,1,High,Established,High,0.6586,Platinum,High_Value_Promo_Dependent,45-54,1,1,1,0.4736,Developing,0.7193,Loyal,Promo Convert Target
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,1,2-Day Shipping,1,1,49,Credit Card,Annually,1,1,Medium,Veteran,Low,0.4118,Silver,Low_Value_Promo_Dependent,35-44,1,0,2,0.3918,Developing,0.345,Transactional,Low Engagement
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,1,Store Pickup,1,1,46,Credit Card,Weekly,52,1,High,Veteran,High,0.8998,Platinum,High_Value_Promo_Dependent,35-44,0,1,1,0.7673,Loyal,0.7236,Loyal,Promo Convert Target
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,1,Store Pickup,1,1,17,Debit Card,Fortnightly,26,1,High,Growing,Medium,0.4367,Silver,Low_Value_Promo_Dependent,18-24,0,0,1,0.3267,Transactional,0.6535,Loyal,Discount Dependent
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,1,Free Shipping,1,1,29,Venmo,Monthly,12,1,High,Established,Medium,0.3998,Silver,Low_Value_Promo_Dependent,65+,0,0,1,0.3148,Transactional,0.5943,Loyal,Low Engagement
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,1,Standard,1,1,4,Debit Card,Weekly,52,1,High,New,High,0.572,Gold,High_Value_Promo_Dependent,55-64,0,1,1,0.4245,Developing,0.7284,Loyal,Low Engagement
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,1,Express,1,1,17,Cash,Weekly,52,1,High,Growing,Low,0.5731,Gold,High_Value_Promo_Dependent,45-54,1,1,1,0.5306,Loyal,0.5131,Developing,Low Engagement
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,1,Store Pickup,1,1,21,Credit Card,Quarterly,4,1,High,Growing,Medium,0.3068,Silver,Low_Value_Promo_Dependent,55-64,0,0,1,0.1868,Transactional,0.708,Loyal,Discount Dependent
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,1,Free Shipping,1,1,31,Credit Card,Fortnightly,26,1,Medium,Established,Low,0.4435,Silver,Low_Value_Promo_Dependent,25-34,0,0,2,0.441,Developing,0.4351,Developing,Low Engagement
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,1,2-Day Shipping,1,1,43,Credit Card,Weekly,52,1,Low,Veteran,High,0.8904,Platinum,High_Value_Promo_Dependent,25-34,1,1,3,0.7429,Loyal,0.4624,Developing,Promo Convert Target
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,1,Standard,1,1,18,Debit Card,Fortnightly,26,1,High,Growing,High,0.4924,Gold,High_Value_Promo_Dependent,65+,0,1,1,0.3349,Transactional,0.7689,Loyal,Low Engagement
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,1,2-Day Shipping,1,1,44,Venmo,Quarterly,4,1,High,Veteran,Low,0.4145,Silver,Low_Value_Promo_Dependent,65+,1,0,1,0.3745,Developing,0.622,Loyal,Low Engagement
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,1,2-Day Shipping,1,1,3,Venmo,Quarterly,4,1,High,New,High,0.2249,Bronze,Low_Value_Promo_Dependent,25-34,1,0,1,0.0399,Transactional,0.7892,Loyal,Discount Dependent
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,1,Store Pickup,1,1,49,Debit Card,Monthly,12,1,High,Veteran,Low,0.5106,Gold,High_Value_Promo_Dependent,45-54,0,1,1,0.4781,Developing,0.5566,Loyal,Promo Convert Target
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,1,Next Day Air,1,1,21,Cash,Quarterly,4,1,Medium,Growing,Medium,0.2518,Silver,Low_Value_Promo_Dependent,55-64,1,0,2,0.1868,Transactional,0.5272,Loyal,Discount Dependent
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,1,Express,1,1,5,Cash,Weekly,52,1,High,New,Medium,0.5577,Gold,High_Value_Promo_Dependent,45-54,1,1,1,0.4327,Developing,0.6722,Loyal,Low Engagement
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,1,Express,1,1,32,Debit Card,Quarterly,4,1,High,Established,Low,0.2991,Silver,Low_Value_Promo_Dependent,18-24,1,0,1,0.2766,Transactional,0.5161,Developing,Low Engagement
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,1,Express,1,1,34,Bank Transfer,Annually,1,1,Low,Established,Medium,0.3394,Silver,Low_Value_Promo_Dependent,35-44,1,0,3,0.2694,Transactional,0.3935,Developing,At Risk
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,1,Store Pickup,1,1,21,Bank Transfer,Quarterly,4,1,Low,Growing,Low,0.2018,Bronze,Low_Value_Promo_Dependent,18-24,0,0,3,0.1868,Transactional,0.3247,Transactional,At Risk
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,1,Free Shipping,1,1,43,Bank Transfer,Fortnightly,26,1,Low,Veteran,High,0.7014,Platinum,High_Value_Promo_Dependent,45-54,0,1,3,0.5389,Loyal,0.4811,Developing,Promo Convert Target
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,1,Express,1,1,3,Cash,Monthly,12,1,High,New,Medium,0.1976,Bronze,Low_Value_Promo_Dependent,45-54,1,0,1,0.1026,Transactional,0.6488,Loyal,Discount Dependent
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,1,Free Shipping,1,1,21,Credit Card,Annually,1,1,Low,Growing,High,0.3258,Silver,Low_Value_Promo_Dependent,55-64,0,0,3,0.1633,Transactional,0.4811,Developing,At Risk
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,1,Free Shipping,1,1,32,Venmo,Monthly,12,1,High,Established,Low,0.3968,Silver,Low_Value_Promo_Dependent,45-54,0,0,1,0.3393,Transactional,0.5599,Loyal,Low Engagement
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,1,Next Day Air,1,1,36,Debit Card,Fortnightly,26,1,Medium,Established,Medium,0.5643,Gold,High_Value_Promo_Dependent,18-24,1,1,2,0.4818,Developing,0.4651,Developing,Promo Convert Target
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,1,Free Shipping,1,1,50,Venmo,Fortnightly,26,1,High,Veteran,High,0.7736,Platinum,High_Value_Promo_Dependent,45-54,0,1,1,0.5961,Loyal,0.7799,Loyal,Promo Convert Target
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,1,2-Day Shipping,1,1,43,Bank Transfer,Quarterly,4,1,Low,Veteran,High,0.5564,Gold,High_Value_Promo_Dependent,35-44,1,1,3,0.3664,Developing,0.5015,Developing,Promo Convert Target
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,1,Store Pickup,1,1,24,Credit Card,Quarterly,4,1,Medium,Growing,Medium,0.3413,Silver,Low_Value_Promo_Dependent,18-24,0,0,2,0.2113,Transactional,0.5945,Loyal,Discount Dependent
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,1,Express,1,1,36,Credit Card,Quarterly,4,1,Low,Established,High,0.4992,Gold,High_Value_Promo_Dependent,65+,1,1,3,0.3092,Transactional,0.5015,Developing,Promo Convert Target
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,1,2-Day Shipping,1,1,21,Credit Card,Quarterly,4,1,High,Growing,Low,0.2068,Bronze,Low_Value_Promo_Dependent,18-24,1,0,1,0.1868,Transactional,0.485,Developing,Discount Dependent
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,1,Standard,1,1,34,Bank Transfer,Weekly,52,1,High,Established,Low,0.7194,Platinum,High_Value_Promo_Dependent,35-44,0,1,1,0.6694,Loyal,0.5365,Loyal,Promo Convert Target
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,1,Standard,1,1,42,Bank Transfer,Quarterly,4,1,High,Veteran,Low,0.3882,Silver,Low_Value_Promo_Dependent,45-54,0,0,1,0.3582,Developing,0.5535,Loyal,Low Engagement
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,1,Next Day Air,1,1,2,Debit Card,Fortnightly,26,1,High,New,High,0.3917,Silver,Low_Value_Promo_Dependent,45-54,1,0,1,0.2042,Transactional,0.7644,Loyal,Discount Dependent
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,1,2-Day Shipping,1,1,47,Cash,Fortnightly,26,1,Medium,Veteran,Low,0.6241,Gold,High_Value_Promo_Dependent,18-24,1,1,2,0.5716,Loyal,0.4836,Developing,Promo Convert Target
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,1,2-Day Shipping,1,1,44,Debit Card,Fortnightly,26,1,Medium,Veteran,Medium,0.6296,Gold,High_Value_Promo_Dependent,45-54,1,1,2,0.5471,Loyal,0.5211,Loyal,Promo Convert Target
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,1,Free Shipping,1,1,35,Credit Card,Monthly,12,1,Medium,Established,Medium,0.4313,Silver,Low_Value_Promo_Dependent,25-34,0,0,2,0.3638,Developing,0.4744,Developing,Low Engagement
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,1,Next Day Air,1,1,15,Cash,Quarterly,4,1,Medium,Growing,High,0.2953,Silver,Low_Value_Promo_Dependent,45-54,1,0,2,0.1378,Transactional,0.6009,Loyal,Discount Dependent
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,1,Express,1,1,29,Credit Card,Monthly,12,1,Low,Established,Medium,0.3848,Silver,Low_Value_Promo_Dependent,25-34,1,0,3,0.3148,Transactional,0.3935,Developing,At Risk
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,1,Standard,1,1,18,Credit Card,Quarterly,4,1,High,Growing,High,0.3598,Silver,Low_Value_Promo_Dependent,35-44,0,0,1,0.1623,Transactional,0.7909,Loyal,Discount Dependent
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,1,2-Day Shipping,1,1,13,Venmo,Quarterly,4,1,High,Growing,High,0.289,Silver,Low_Value_Promo_Dependent,55-64,1,0,1,0.1215,Transactional,0.7254,Loyal,Discount Dependent
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,1,Standard,1,1,46,Credit Card,Weekly,52,1,High,Veteran,Medium,0.8723,Platinum,High_Value_Promo_Dependent,35-44,0,1,1,0.7673,Loyal,0.6612,Loyal,Promo Convert Target
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,1,Free Shipping,1,1,28,Credit Card,Weekly,52,1,High,Established,High,0.7604,Platinum,High_Value_Promo_Dependent,55-64,0,1,1,0.6204,Loyal,0.719,Loyal,Promo Convert Target
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,1,Free Shipping,1,1,48,PayPal,Monthly,12,1,Medium,Veteran,High,0.6699,Platinum,High_Value_Promo_Dependent,35-44,0,1,2,0.4699,Developing,0.682,Loyal,Promo Convert Target
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,1,Express,1,1,43,Venmo,Quarterly,4,1,Medium,Veteran,High,0.4989,Gold,High_Value_Promo_Dependent,25-34,1,1,2,0.3664,Developing,0.5976,Loyal,Promo Convert Target
